NinjaScript File,Error,Code,Line,Column,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher' and 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher',CS0229,114,13,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher' and 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher',CS0229,115,13,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.inboxDir' and 'CG_NT8_AutoDeployer_AddOn_v0_1.inboxDir',CS0229,118,56,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.ProcessInboundFile(string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.ProcessInboundFile(string)',CS0121,119,17,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher' and 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher',CS0229,126,21,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher' and 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher',CS0229,128,21,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher' and 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher',CS0229,129,21,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher' and 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher',CS0229,130,21,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher' and 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher',CS0229,131,21,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher' and 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher',CS0229,132,21,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher' and 'CG_NT8_AutoDeployer_AddOn_v0_1.watcher',CS0229,133,21,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,The call is ambiguous between the following methods or properties: 'CG_NT8_AutoDeployer_AddOn_v0_1.ProcessInboundFile(string)' and 'CG_NT8_AutoDeployer_AddOn_v0_1.ProcessInboundFile(string)',CS0121,145,17,
CG_NT8_AutoDeployer_AddOn_v0_1.cs,Ambiguity between 'CG_NT8_AutoDeployer_AddOn_v0_1.sync' and 'CG_NT8_AutoDeployer_AddOn_v0_1.sync',CS0229,151,19,
