param_name,trigger_model,trade_side,setup_family,wall_side,delta_flip_pattern,orb_position,time_bucket,atr_regime,session_extreme_location,trades,win_rate,gross_expectancy_ticks,net_expectancy_ticks,avg_hold_seconds,avg_mfe_ticks,avg_mae_ticks,stops,vwap_targets,orb_targets,opposite_exits,timeouts
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,112,0.20535714285714285,2.4107142857142856,-2.9892857142857148,6.504965901785715,7.928571428571429,4.910714285714286,5,0,0,107,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,194,0.22164948453608246,2.3556701030927836,-3.044329896907217,5.329738943298969,7.211340206185567,4.082474226804123,5,0,0,189,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,194,0.21649484536082475,2.3350515463917527,-3.0649484536082476,5.271456072164948,7.170103092783505,4.041237113402062,6,0,0,188,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,112,0.20535714285714285,2.3214285714285716,-3.078571428571429,6.505029723214286,7.928571428571429,4.910714285714286,5,0,0,107,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,194,0.21649484536082475,2.252577319587629,-3.147422680412371,5.411123195876289,7.211340206185567,4.252577319587629,4,0,0,190,0
S20_ORB_ONLY_BE16p2_T10m,CONFIRM_6T_PULLBACK,SHORT,BREAK,BID,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,200,0.11,2.15,-3.25,130.15096771,32.86,12.495,178,0,0,0,22
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,SHORT,BREAK,BID,BUY_TO_SELL_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,138,0.2898550724637681,2.101449275362319,-3.2985507246376815,5.734210572463768,7.0144927536231885,5.028985507246377,2,0,0,136,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,145,0.2206896551724138,1.6827586206896552,-3.717241379310345,6.510516124137931,6.296551724137931,3.5310344827586206,0,0,0,145,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,145,0.2206896551724138,1.6689655172413793,-3.731034482758621,6.490598441379311,6.296551724137931,3.510344827586207,1,0,0,144,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,145,0.2206896551724138,1.6620689655172414,-3.7379310344827585,6.490598441379311,6.296551724137931,3.510344827586207,1,0,0,144,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,143,0.23076923076923078,1.6503496503496504,-3.74965034965035,6.925372986013986,6.65034965034965,4.013986013986014,0,0,0,143,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,143,0.23076923076923078,1.6503496503496504,-3.74965034965035,6.925372986013986,6.65034965034965,4.013986013986014,0,0,0,143,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,143,0.23076923076923078,1.6223776223776223,-3.777622377622378,6.864077874125874,6.65034965034965,3.944055944055944,5,0,0,138,0
S20_ORB_ONLY_BE16p2_T10m,CONFIRM_6T_PULLBACK,SHORT,REJECTION,ASK,BUY_TO_SELL_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,156,0.12179487179487179,1.5705128205128205,-3.829487179487179,133.9500333525641,32.94230769230769,13.435897435897436,137,0,0,0,19
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,SHORT,BREAK,BID,BUY_TO_SELL_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,136,0.23529411764705882,1.5294117647058822,-3.8705882352941177,5.9569141911764705,7.397058823529412,5.963235294117647,6,0,0,130,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,140,0.24285714285714285,1.5071428571428571,-3.892857142857143,6.583850207142857,6.607142857142857,3.907142857142857,0,0,0,140,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,140,0.24285714285714285,1.5071428571428571,-3.892857142857143,6.583850207142857,6.607142857142857,3.907142857142857,0,0,0,140,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,140,0.24285714285714285,1.4214285714285715,-3.9785714285714286,6.541967342857143,6.607142857142857,3.8785714285714286,4,0,0,136,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,SHORT,REJECTION,ASK,BUY_TO_SELL_FLIP,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,156,0.20512820512820512,1.2820512820512822,-4.117948717948718,5.50503757051282,6.3076923076923075,3.2948717948717947,1,0,0,155,0
