param_name,trigger_model,trade_side,setup_family,trades,win_rate,gross_expectancy_ticks,net_expectancy_ticks,avg_hold_seconds,med_hold_seconds,avg_mfe_ticks,avg_mae_ticks,stops,vwap_targets,orb_targets,opposite_exits,timeouts
S20_ORB_ONLY_BE16p2_T10m,CONFIRM_6T_PULLBACK,SHORT,BREAK,697,0.058823529411764705,-5.375896700143472,-10.775896700143472,94.83225416929699,44.292616,23.083213773314203,14.447632711621234,656,0,0,0,41
S20_ORB_ONLY_BE16p2_T10m,CONFIRM_8T_PULLBACK,SHORT,REJECTION,722,0.05678670360110803,-5.641274238227147,-11.041274238227148,91.48322750138504,41.541717500000004,23.005540166204987,14.542936288088642,681,0,0,0,41
S20_ORB_ONLY_BE16p2_T10m,CONFIRM_6T_PULLBACK,LONG,BREAK,666,0.06606606606606606,-5.888888888888889,-11.288888888888888,112.50568818168169,48.965973500000004,23.87237237237237,13.258258258258259,622,0,0,0,44
S20_VWAP_ONLY_BE16p2_T10m,CONFIRM_6T_PULLBACK,LONG,BREAK,666,0.06606606606606606,-5.888888888888889,-11.288888888888888,112.50568818168169,48.965973500000004,23.87237237237237,13.258258258258259,622,0,0,0,44
S24_VWAP_ORB_NOOPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,LONG,BREAK,666,0.052552552552552555,-6.337837837837838,-11.737837837837837,157.39441286486485,74.23431500000001,27.61261261261261,16.33933933933934,631,0,0,0,35
S24_VWAP_ORB_NOOPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,LONG,BREAK,644,0.05745341614906832,-6.624223602484472,-12.02422360248447,155.9187865388199,67.60719800000001,26.226708074534162,17.122670807453417,607,0,0,0,37
S20_ORB_ONLY_BE16p2_T10m,CONFIRM_8T_PULLBACK,SHORT,BREAK,682,0.0469208211143695,-6.912023460410557,-12.312023460410556,87.38277652346042,40.367837,21.13782991202346,14.70674486803519,650,0,0,0,32
S20_ORB_ONLY_BE16p2_T10m,CONFIRM_8T_PULLBACK,LONG,BREAK,644,0.06366459627329192,-6.96583850931677,-12.36583850931677,103.99427121739132,45.970961,21.330745341614907,13.964285714285714,603,0,0,0,41
S20_VWAP_ONLY_BE16p2_T10m,CONFIRM_8T_PULLBACK,LONG,BREAK,644,0.06366459627329192,-6.96583850931677,-12.36583850931677,103.99427121739132,45.970961,21.330745341614907,13.964285714285714,603,0,0,0,41
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_6T_PULLBACK,SHORT,REJECTION,740,0.0,-353.05066551351297,-358.4506655135129,-0.39117506621621617,-0.37581899999999996,1.8594594594594596,0.8702702702702703,1,739,0,0,0
S20_VWAP_ONLY_BE16p2_T10m,CONFIRM_6T_PULLBACK,SHORT,REJECTION,740,0.0,-353.377031887171,-358.77703188717095,-0.39117506621621617,-0.37581899999999996,1.8594594594594596,0.8702702702702703,0,740,0,0,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_6T_PULLBACK,SHORT,REJECTION,740,0.0,-353.377031887171,-358.77703188717095,-0.39117506621621617,-0.37581899999999996,1.8594594594594596,0.8702702702702703,0,740,0,0,0
S24_VWAP_ORB_NOOPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,SHORT,REJECTION,740,0.0,-353.377031887171,-358.77703188717095,-0.39117506621621617,-0.37581899999999996,1.8594594594594596,0.8702702702702703,0,740,0,0,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_8T_PULLBACK,SHORT,REJECTION,722,0.0,-354.0238516379273,-359.4238516379273,-0.346445811634349,-0.31355649999999996,2.081717451523546,1.03601108033241,1,721,0,0,0
S20_VWAP_ONLY_BE16p2_T10m,CONFIRM_8T_PULLBACK,SHORT,REJECTION,722,0.0,-354.3597396109286,-359.7597396109286,-0.346445811634349,-0.31355649999999996,2.081717451523546,1.03601108033241,0,722,0,0,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_8T_PULLBACK,SHORT,REJECTION,722,0.0,-354.3597396109286,-359.7597396109286,-0.346445811634349,-0.31355649999999996,2.081717451523546,1.03601108033241,0,722,0,0,0
S24_VWAP_ORB_NOOPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,SHORT,REJECTION,722,0.0,-354.3597396109286,-359.7597396109286,-0.346445811634349,-0.31355649999999996,2.081717451523546,1.03601108033241,0,722,0,0,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_6T_PULLBACK,SHORT,BREAK,697,0.0,-356.53277460756084,-361.93277460756076,-0.3776004146341464,-0.34781700000000004,1.5710186513629842,1.2898134863701578,2,695,0,0,0
S20_VWAP_ONLY_BE16p2_T10m,CONFIRM_6T_PULLBACK,SHORT,BREAK,697,0.0,-357.2272246449411,-362.62722464494107,-0.3776004146341464,-0.34781700000000004,1.5710186513629842,1.2898134863701578,0,697,0,0,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_6T_PULLBACK,SHORT,BREAK,697,0.0,-357.2272246449411,-362.62722464494107,-0.3776004146341464,-0.34781700000000004,1.5710186513629842,1.2898134863701578,0,697,0,0,0
S24_VWAP_ORB_NOOPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,SHORT,BREAK,697,0.0,-357.2272246449411,-362.62722464494107,-0.3776004146341464,-0.34781700000000004,1.5710186513629842,1.2898134863701578,0,697,0,0,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_8T_PULLBACK,SHORT,BREAK,682,0.0,-358.037107386089,-363.437107386089,-0.3664408797653959,-0.3378975,1.8181818181818181,1.6304985337243403,1,681,0,0,0
S20_VWAP_ONLY_BE16p2_T10m,CONFIRM_8T_PULLBACK,SHORT,BREAK,682,0.0,-358.3926955334599,-363.79269553345983,-0.3664408797653959,-0.3378975,1.8181818181818181,1.6304985337243403,0,682,0,0,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_8T_PULLBACK,SHORT,BREAK,682,0.0,-358.3926955334599,-363.79269553345983,-0.3664408797653959,-0.3378975,1.8181818181818181,1.6304985337243403,0,682,0,0,0
S24_VWAP_ORB_NOOPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,SHORT,BREAK,682,0.0,-358.3926955334599,-363.79269553345983,-0.3664408797653959,-0.3378975,1.8181818181818181,1.6304985337243403,0,682,0,0,0
