NinjaScript File,Error,Code,Line,Column,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.BreakoutStop' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.BreakoutStop',CS0229,258,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.BreakoutMaxHold' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.BreakoutMaxHold',CS0229,259,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.BreakoutVolumeSpike' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.BreakoutVolumeSpike',CS0229,260,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.UseTrendFilter' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.UseTrendFilter',CS0229,263,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.FastEMA' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.FastEMA',CS0229,264,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.SlowEMA' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.SlowEMA',CS0229,265,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.DisableShorts' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.DisableShorts',CS0229,266,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.OnlyWithTrend' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.OnlyWithTrend',CS0229,267,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.RTHOnly' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.RTHOnly',CS0229,268,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.UseTrailingStops' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.UseTrailingStops',CS0229,269,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.TrailingStopTrigger' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.TrailingStopTrigger',CS0229,270,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.TrailingStopDistance' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.TrailingStopDistance',CS0229,271,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.UseShortGate' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.UseShortGate',CS0229,274,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.ShortGateMaxFails' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.ShortGateMaxFails',CS0229,275,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.ShortGateMinEMASeparation' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.ShortGateMinEMASeparation',CS0229,276,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.MaxTradesPerHour' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.MaxTradesPerHour',CS0229,279,5,
CGScalpingStrategyNT8Native_v4_1_ShortGate.cs,Ambiguity between 'CGScalpingStrategyNT8Native_v4_1_ShortGate.WeeklyLossLimit' and 'CGScalpingStrategyNT8Native_v4_1_ShortGate.WeeklyLossLimit',CS0229,280,5,
