entry_time,exit_time,direction,regime,entry_price,exit_price,pnl,bars_held,reason,exit_reason
2025-10-17 08:13:57,2025-10-17 08:14:01,long,choppy,24461.75,24460.5,-10.0,4,choppy_breakout_bid@24450.00,stop_loss
2025-10-17 08:14:02,2025-10-17 08:14:03,long,choppy,24456.25,24455.0,-10.0,1,choppy_breakout_bid@24450.00,stop_loss
2025-10-17 08:14:07,2025-10-17 08:14:08,long,choppy,24451.75,24450.5,-10.0,1,choppy_breakout_bid@24450.00,stop_loss
2025-10-17 08:14:12,2025-10-17 08:14:14,long,choppy,24448.0,24446.75,-10.0,2,choppy_breakout_bid@24450.00,stop_loss
2025-10-17 08:42:22,2025-10-17 08:42:28,long,choppy,24499.75,24498.5,-10.0,6,choppy_breakout_bid@24500.00,stop_loss
2025-10-17 08:42:32,2025-10-17 08:42:35,long,choppy,24497.25,24496.0,-10.0,3,choppy_breakout_bid@24500.00,stop_loss
2025-10-17 08:42:42,2025-10-17 08:42:47,long,choppy,24501.25,24500.0,-10.0,5,choppy_breakout_bid@24500.00,stop_loss
2025-10-17 08:44:58,2025-10-17 08:45:00,long,choppy,24487.5,24490.0,20.0,2,choppy_breakout_bid@24500.00,profit_target
2025-10-17 08:45:03,2025-10-17 08:45:04,long,choppy,24489.0,24487.75,-10.0,1,choppy_breakout_bid@24500.00,stop_loss
2025-10-17 09:49:07,2025-10-17 09:49:11,long,choppy,24509.5,24512.0,20.0,4,choppy_breakout_bid@24500.00,profit_target
2025-10-17 09:58:44,2025-10-17 09:58:46,long,choppy,24510.75,24509.5,-10.0,2,choppy_breakout_bid@24500.00,stop_loss
2025-10-17 09:58:49,2025-10-17 09:58:54,long,choppy,24505.25,24504.0,-10.0,5,choppy_breakout_bid@24500.00,stop_loss
2025-10-17 09:59:39,2025-10-17 09:59:47,long,choppy,24505.75,24504.5,-10.0,8,choppy_breakout_bid@24500.00,stop_loss
2025-10-17 10:00:54,2025-10-17 10:01:02,long,choppy,24509.5,24512.0,20.0,8,choppy_breakout_bid@24500.00,profit_target
2025-10-17 10:18:39,2025-10-17 10:18:52,long,choppy,24501.25,24503.75,20.0,13,choppy_breakout_bid@24500.00,profit_target
2025-10-17 10:20:04,2025-10-17 10:20:11,long,choppy,24503.25,24502.0,-10.0,7,choppy_breakout_bid@24500.00,stop_loss
2025-10-17 10:21:39,2025-10-17 10:21:41,long,choppy,24498.0,24496.75,-10.0,2,choppy_breakout_bid@24500.00,stop_loss
2025-10-17 10:21:49,2025-10-17 10:21:52,long,choppy,24498.5,24497.25,-10.0,3,choppy_breakout_bid@24500.00,stop_loss
2025-10-17 10:24:39,2025-10-17 10:24:49,long,choppy,24493.0,24491.75,-10.0,10,choppy_breakout_bid@24500.00,stop_loss
2025-10-17 10:29:09,2025-10-17 10:29:13,long,choppy,24496.25,24498.75,20.0,4,choppy_breakout_bid@24500.00,profit_target
2025-10-17 10:30:44,2025-10-17 10:30:47,long,choppy,24504.0,24502.75,-10.0,3,choppy_breakout_bid@24500.00,stop_loss
2025-10-17 10:30:49,2025-10-17 10:30:50,long,choppy,24504.25,24506.75,20.0,1,choppy_breakout_bid@24500.00,profit_target
2025-10-17 10:33:09,2025-10-17 10:33:10,long,choppy,24509.5,24508.25,-10.0,1,choppy_breakout_bid@24500.00,stop_loss
2025-10-17 11:01:40,2025-10-17 11:01:45,long,choppy,24589.0,24587.75,-10.0,5,choppy_breakout_bid@24600.00,stop_loss
2025-10-17 11:01:50,2025-10-17 11:01:59,long,choppy,24587.75,24590.25,20.0,9,choppy_breakout_bid@24600.00,profit_target
2025-10-17 11:13:50,2025-10-17 11:13:53,long,choppy,24718.25,24717.0,-10.0,3,choppy_breakout_bid@24720.00,stop_loss
2025-10-17 11:14:45,2025-10-17 11:14:47,long,choppy,24709.0,24711.5,20.0,2,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:14:55,2025-10-17 11:14:56,long,choppy,24719.75,24718.5,-10.0,1,choppy_breakout_bid@24730.00,stop_loss
2025-10-17 11:15:00,2025-10-17 11:15:01,long,choppy,24715.75,24714.5,-10.0,1,choppy_breakout_bid@24725.00,stop_loss
2025-10-17 11:15:30,2025-10-17 11:15:31,long,choppy,24711.0,24713.5,20.0,1,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:16:00,2025-10-17 11:16:02,long,choppy,24702.5,24701.25,-10.0,2,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:16:05,2025-10-17 11:16:07,long,choppy,24701.5,24700.25,-10.0,2,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:17:00,2025-10-17 11:17:01,long,choppy,24710.0,24708.75,-10.0,1,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:17:30,2025-10-17 11:17:32,long,choppy,24716.5,24715.25,-10.0,2,choppy_breakout_bid@24705.00,stop_loss
2025-10-17 11:17:50,2025-10-17 11:17:53,long,choppy,24696.25,24695.0,-10.0,3,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:18:10,2025-10-17 11:18:11,long,choppy,24691.0,24693.5,20.0,1,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:18:20,2025-10-17 11:18:21,long,choppy,24699.0,24701.5,20.0,1,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:18:25,2025-10-17 11:18:27,long,choppy,24689.75,24688.5,-10.0,2,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:18:30,2025-10-17 11:18:33,long,choppy,24685.0,24683.75,-10.0,3,choppy_breakout_bid@24688.50,stop_loss
2025-10-17 11:19:10,2025-10-17 11:19:11,long,choppy,24688.25,24687.0,-10.0,1,choppy_breakout_bid@24685.00,stop_loss
2025-10-17 11:19:25,2025-10-17 11:19:27,long,choppy,24681.75,24680.5,-10.0,2,choppy_breakout_bid@24680.00,stop_loss
2025-10-17 11:20:10,2025-10-17 11:20:14,long,choppy,24691.75,24694.25,20.0,4,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:20:30,2025-10-17 11:20:31,long,choppy,24686.5,24685.25,-10.0,1,choppy_breakout_bid@24680.00,stop_loss
2025-10-17 11:20:35,2025-10-17 11:20:38,long,choppy,24691.75,24694.25,20.0,3,choppy_breakout_bid@24680.00,profit_target
2025-10-17 11:21:10,2025-10-17 11:21:11,long,choppy,24689.0,24691.5,20.0,1,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:21:20,2025-10-17 11:21:22,long,choppy,24697.5,24696.25,-10.0,2,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:21:25,2025-10-17 11:21:28,long,choppy,24688.5,24691.0,20.0,3,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:21:30,2025-10-17 11:21:31,long,choppy,24687.75,24690.25,20.0,1,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:21:35,2025-10-17 11:21:37,long,choppy,24687.5,24686.25,-10.0,2,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:22:05,2025-10-17 11:22:13,long,choppy,24681.25,24680.0,-10.0,8,choppy_breakout_bid@24673.00,stop_loss
2025-10-17 11:24:35,2025-10-17 11:24:37,long,choppy,24691.25,24693.75,20.0,2,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:24:40,2025-10-17 11:24:44,long,choppy,24694.75,24697.25,20.0,4,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:25:00,2025-10-17 11:25:01,long,choppy,24705.25,24707.75,20.0,1,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:25:05,2025-10-17 11:25:11,long,choppy,24714.75,24717.25,20.0,6,choppy_breakout_bid@24710.00,profit_target
2025-10-17 11:25:55,2025-10-17 11:25:56,short,choppy,24710.25,24711.5,-10.0,1,choppy_breakout_ask@24717.00,stop_loss
2025-10-17 11:26:00,2025-10-17 11:26:01,short,choppy,24713.75,24711.25,20.0,1,choppy_breakout_ask@24720.00,profit_target
2025-10-17 11:26:35,2025-10-17 11:26:36,long,choppy,24691.0,24693.5,20.0,1,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:27:15,2025-10-17 11:27:17,long,choppy,24706.75,24709.25,20.0,2,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:27:25,2025-10-17 11:27:34,long,choppy,24705.25,24707.75,20.0,9,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:28:05,2025-10-17 11:28:10,long,choppy,24701.5,24700.25,-10.0,5,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:28:20,2025-10-17 11:28:30,long,choppy,24695.5,24698.0,20.0,10,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:30:25,2025-10-17 11:30:26,long,choppy,24698.75,24701.25,20.0,1,choppy_breakout_bid@24700.00,profit_target
2025-10-17 11:31:25,2025-10-17 11:31:26,long,choppy,24691.75,24690.5,-10.0,1,choppy_breakout_bid@24700.00,stop_loss
2025-10-17 11:31:30,2025-10-17 11:31:32,long,choppy,24684.0,24682.75,-10.0,2,choppy_breakout_bid@24680.00,stop_loss
2025-10-17 11:32:00,2025-10-17 11:32:01,long,choppy,24676.25,24675.0,-10.0,1,choppy_breakout_bid@24680.00,stop_loss
2025-10-17 11:32:05,2025-10-17 11:32:09,long,choppy,24678.5,24681.0,20.0,4,choppy_breakout_bid@24680.00,profit_target
2025-10-17 11:32:10,2025-10-17 11:32:16,long,choppy,24684.5,24683.25,-10.0,6,choppy_breakout_bid@24680.00,stop_loss
