entry_time,exit_time,direction,entry_price,exit_price,pnl,bars_held,reason,exit_reason
2025-10-10 09:48:17,2025-10-10 09:48:21,long,25283.75,25282.5,-10.0,4,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:48:27,2025-10-10 09:48:30,long,25283.25,25282.0,-10.0,3,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:48:32,2025-10-10 09:48:52,long,25283.25,25282.0,-10.0,20,breakout_bid_wall@25295.00,stop_loss
2025-10-10 09:49:07,2025-10-10 09:49:23,long,25276.25,25275.0,-10.0,16,breakout_bid_wall@25270.00,stop_loss
2025-10-10 09:49:32,2025-10-10 09:49:37,long,25275.0,25273.75,-10.0,5,breakout_bid_wall@25270.00,stop_loss
2025-10-10 09:49:42,2025-10-10 09:49:49,long,25272.75,25271.5,-10.0,7,breakout_bid_wall@25270.00,stop_loss
2025-10-10 09:49:52,2025-10-10 09:50:12,long,25270.5,25273.0,20.0,20,breakout_bid_wall@25260.00,profit_target
2025-10-10 09:50:32,2025-10-10 09:50:36,long,25277.0,25275.75,-10.0,4,breakout_bid_wall@25270.00,stop_loss
2025-10-10 09:50:52,2025-10-10 09:50:53,long,25275.0,25273.75,-10.0,1,breakout_bid_wall@25270.00,stop_loss
2025-10-10 09:51:22,2025-10-10 09:51:33,long,25271.25,25270.0,-10.0,11,breakout_bid_wall@25260.00,stop_loss
2025-10-10 09:52:02,2025-10-10 09:52:13,long,25268.5,25271.0,20.0,11,breakout_bid_wall@25260.00,profit_target
2025-10-10 09:53:32,2025-10-10 09:53:44,long,25264.5,25263.25,-10.0,12,breakout_bid_wall@25260.00,stop_loss
2025-10-10 09:54:32,2025-10-10 09:54:35,long,25261.5,25260.25,-10.0,3,breakout_bid_wall@25250.00,stop_loss
2025-10-10 09:54:47,2025-10-10 09:55:14,long,25259.25,25261.75,20.0,27,breakout_bid_wall@25250.00,profit_target
2025-10-10 09:55:22,2025-10-10 09:55:42,long,25260.25,25262.75,20.0,20,breakout_bid_wall@25250.00,profit_target
2025-10-10 09:57:07,2025-10-10 09:57:52,long,25254.0,25252.75,-10.0,45,breakout_bid_wall@25250.00,stop_loss
2025-10-10 09:58:22,2025-10-10 09:58:25,long,25256.75,25255.5,-10.0,3,breakout_bid_wall@25250.00,stop_loss
2025-10-10 09:58:47,2025-10-10 09:58:52,long,25255.25,25257.75,20.0,5,breakout_bid_wall@25250.00,profit_target
2025-10-10 09:59:42,2025-10-10 10:00:01,long,25256.5,25255.25,-10.0,19,breakout_bid_wall@25250.00,stop_loss
2025-10-10 10:00:27,2025-10-10 10:00:39,long,25256.75,25259.25,20.0,12,breakout_bid_wall@25250.00,profit_target
2025-10-10 10:00:42,2025-10-10 10:00:49,long,25261.0,25259.75,-10.0,7,breakout_bid_wall@25250.00,stop_loss
2025-10-10 10:00:52,2025-10-10 10:01:41,long,25261.75,25264.25,20.0,48,breakout_bid_wall@25250.00,profit_target
2025-10-10 10:02:08,2025-10-10 10:02:40,long,25265.5,25268.0,20.0,32,breakout_bid_wall@25260.00,profit_target
2025-10-10 10:03:08,2025-10-10 10:03:11,long,25266.0,25264.75,-10.0,3,breakout_bid_wall@25260.00,stop_loss
2025-10-10 10:03:28,2025-10-10 10:04:21,long,25266.0,25264.75,-10.0,51,breakout_bid_wall@25260.00,stop_loss
2025-10-10 10:04:30,2025-10-10 10:04:44,long,25263.5,25266.0,20.0,14,breakout_bid_wall@25260.00,profit_target
2025-10-10 10:05:01,2025-10-10 10:05:07,long,25264.75,25267.25,20.0,6,breakout_bid_wall@25260.00,profit_target
2025-10-10 10:06:06,2025-10-10 10:06:11,long,25272.75,25271.5,-10.0,5,breakout_bid_wall@25275.00,stop_loss
2025-10-10 10:06:26,2025-10-10 10:06:37,long,25274.0,25272.75,-10.0,11,breakout_bid_wall@25275.00,stop_loss
2025-10-10 10:07:16,2025-10-10 10:07:26,long,25274.5,25273.25,-10.0,10,breakout_bid_wall@25275.00,stop_loss
2025-10-10 10:08:20,2025-10-10 10:08:49,long,25275.0,25277.5,20.0,29,breakout_bid_wall@25275.00,profit_target
2025-10-10 10:09:26,2025-10-10 10:09:47,long,25273.25,25275.75,20.0,20,breakout_bid_wall@25275.00,profit_target
2025-10-10 10:10:08,2025-10-10 10:10:22,long,25275.0,25277.5,20.0,14,breakout_bid_wall@25275.00,profit_target
2025-10-10 10:10:23,2025-10-10 10:11:54,long,25277.75,25280.25,20.0,89,breakout_bid_wall@25275.00,profit_target
2025-10-10 10:12:15,2025-10-10 10:12:36,long,25285.25,25287.75,20.0,21,breakout_bid_wall@25295.00,profit_target
2025-10-10 10:12:45,2025-10-10 10:13:29,long,25288.0,25286.75,-10.0,44,breakout_bid_wall@25300.00,stop_loss
2025-10-10 10:14:00,2025-10-10 10:14:42,long,25281.25,25283.75,20.0,40,breakout_bid_wall@25275.00,profit_target
2025-10-10 10:14:47,2025-10-10 10:15:17,long,25283.75,25282.5,-10.0,28,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:15:39,2025-10-10 10:16:16,long,25280.0,25278.75,-10.0,35,breakout_bid_wall@25275.00,stop_loss
2025-10-10 10:16:21,2025-10-10 10:16:35,long,25278.25,25280.75,20.0,13,breakout_bid_wall@25275.00,profit_target
2025-10-10 10:16:37,2025-10-10 10:17:00,long,25280.25,25282.75,20.0,22,breakout_bid_wall@25275.00,profit_target
2025-10-10 10:17:08,2025-10-10 10:17:13,long,25284.25,25283.0,-10.0,5,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:18:55,2025-10-10 10:19:15,long,25292.25,25291.0,-10.0,20,breakout_bid_wall@25300.00,stop_loss
2025-10-10 10:19:35,2025-10-10 10:19:54,long,25286.25,25288.75,20.0,19,breakout_bid_wall@25295.00,profit_target
2025-10-10 10:20:15,2025-10-10 10:20:28,long,25288.5,25291.0,20.0,13,breakout_bid_wall@25295.00,profit_target
2025-10-10 10:20:55,2025-10-10 10:21:29,long,25290.75,25289.5,-10.0,34,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:21:40,2025-10-10 10:21:48,long,25292.75,25291.5,-10.0,8,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:21:50,2025-10-10 10:22:05,long,25292.0,25290.75,-10.0,14,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:22:16,2025-10-10 10:22:28,long,25292.0,25290.75,-10.0,12,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:22:47,2025-10-10 10:23:01,long,25290.25,25289.0,-10.0,10,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:23:23,2025-10-10 10:23:26,long,25290.0,25288.75,-10.0,2,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:23:29,2025-10-10 10:23:49,long,25288.5,25287.25,-10.0,20,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:25:01,2025-10-10 10:25:16,long,25288.25,25287.0,-10.0,15,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:25:41,2025-10-10 10:25:54,long,25285.0,25283.75,-10.0,13,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:26:01,2025-10-10 10:26:12,long,25287.5,25286.25,-10.0,11,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:27:20,2025-10-10 10:27:33,long,25286.5,25285.25,-10.0,10,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:27:40,2025-10-10 10:27:47,long,25286.75,25285.5,-10.0,5,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:27:59,2025-10-10 10:28:01,long,25283.5,25282.25,-10.0,2,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:28:25,2025-10-10 10:28:39,long,25283.5,25282.25,-10.0,13,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:28:46,2025-10-10 10:29:21,long,25282.75,25281.5,-10.0,31,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:30:57,2025-10-10 10:30:58,long,25288.75,25287.5,-10.0,1,breakout_bid_wall@25300.00,stop_loss
2025-10-10 10:31:13,2025-10-10 10:31:24,long,25288.25,25287.0,-10.0,11,breakout_bid_wall@25300.00,stop_loss
2025-10-10 10:32:24,2025-10-10 10:32:46,long,25281.0,25279.75,-10.0,22,breakout_bid_wall@25275.00,stop_loss
2025-10-10 10:33:04,2025-10-10 10:33:17,long,25282.0,25284.5,20.0,10,breakout_bid_wall@25275.00,profit_target
2025-10-10 10:33:34,2025-10-10 10:33:41,long,25286.75,25285.5,-10.0,7,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:34:23,2025-10-10 10:34:29,long,25284.5,25283.25,-10.0,3,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:34:31,2025-10-10 10:34:50,long,25283.75,25282.5,-10.0,19,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:35:09,2025-10-10 10:35:10,long,25283.0,25281.75,-10.0,1,breakout_bid_wall@25295.00,stop_loss
2025-10-10 10:36:01,2025-10-10 10:36:50,long,25276.25,25275.0,-10.0,47,breakout_bid_wall@25275.00,stop_loss
